New URI	URI	Current	Canonical Name	Syriac Canonical	Name Variant 1	Name Variant 2	Name Variant 1_SYR	Sex	Office	Source 1	page	Source 2	Section	Birth	Death	Floruit	Wikipedia	Other references
2200		/AbgarVI	Abgar VI	ܐܒܓܪ	Abgar the king			M	King of Edessa	bibl633-1	3	bibl633-2	4			88/9		
2201		/AbgarVIII	Abgar VIII	ܐܒܓܪ	Abgar the king			M	King of Edessa	bibl633-1	1	bibl633-2	8			November 201	https://en.wikipedia.org/wiki/Abgar_VIII	
2202		/Abraham	Abraham	ܐܒܪܗܡ				M	Bishop of Edessa	bibl633-1	4	bibl633-2	18			345/6	https://en.wikipedia.org/wiki/Abraham_of_Edessa	
2203		/Addai	Addai	ܐܕܝ	Addi			M	Bishop of Edessa	bibl633-1	12	bibl633-2	103			8/28/0533	https://en.wikipedia.org/wiki/Addi_of_Edessa	
2204		/Anatolius	Anatolius	ܐܢܛܠ				M	Stratelates	bibl633-1	7	bibl633-2	61			441/2		Fl. Anatolius 10: PLRE II 84-86
2205		/Andreos	Andreos	ܐܢܕܪܐܘܣ	Andreas			M	Bishop of Edessa	bibl633-1	11	bibl633-2	95				https://en.wikipedia.org/wiki/Andreas_of_Edessa	
2206		/Andreos								bibl633-1	12	bibl633-2	103		12/1/0532			
2207		/AndreosSamosata	Andreos of Samosata	ܐܢܕܪܐܘܣ ܕܫܡܝܫܛ	Andrew of Samosata			M	Bishop of Samosata	bibl633-1	7	bibl633-2	56			428/9		
2208		/Anonymi09	Anonymi 9		The people of Edessa who fled the persecution of the Arians in 377					bibl633-1	5	bibl633-2	31			September 373		
2209		/Anonymi27	Anonymi 27		The orthodox who returned to the city of Edessa in December 377 after being persecuted by the Arians.					bibl633-1	5	bibl633-2	33					
2210		/Anonymi1	Anonymi 1		Workers in the government of Edessa				Government officials	bibl633-1	1	bibl633-2	8			November 201		
2211		/Anonymi10	Anonymi 10		The Arians who persecuted people in the church of Edessa in 377					bibl633-1	5	bibl633-2	31			September 373		
2212		/Anonymi11	Anonymi 11		Those attending the Council of Constantinople in 381					bibl633-1	5	bibl633-2	36			381		
2213		/Anonymi13	Anonymi 13		The Jews of Edessa					bibl633-1	6	bibl633-2	51			412/3		
2214		/Anonymi14	Anonymi 14		Those who say that sin is implanted in nature					bibl633-1	6 -- 7	bibl633-2	55			427/8		
2215		/Anonymi15	Anonymi 15		The poor and invalid of Edessa					bibl633-1	8	bibl633-2	68			457		
2216		/Anonymi16	Anonymi 16		The craftsmen of the land of Edessa				Artisans	bibl633-1	8	bibl633-2	74			May 498		
2217		/Anonymi17	Anonymi 17		The inhabitants of Nicopolis					bibl633-1	8	bibl633-2	76		498/9			
2218		/Anonymi18	Anonymi 18		Two synkelli who survived the earthquake in Nicopolis in 498/9			M	Synkelli	bibl633-1	8	bibl633-2	76			498/9		
2219		/Anonymi19	Anonymi 19		Those wishing to remove the book placed in the coffin of Euphemia the Martyr by the Council of Chalcedon					bibl633-1	9	bibl633-2	83			511/2		
2220		/Anonymi2	Anonymi 2		The wise men of Edessa				Government officials	bibl633-1	1	bibl633-2	8			November 201		
2221		/Anonymi20	Anonymi 20		The monks of the east				Monks	bibl633-1	10	bibl633-2	90			12/24/0522		
2222		/Anonymi21	Anonymi 21		The great men of the city of Edessa					bibl633-1	13	bibl633-2	105			May 540		
2223		/Anonymi22	Anonymi 22	ܦܪ̈ܬܘܝܐ	The Parthians					bibl633-1	3	bibl633-2	7			165/6		
2224		/Anonymi23	Anonymi 23		The Huns who entered Roman territory in July 395					bibl633-1	6	bibl633-2	40			July  395		
2225		/Anonymi24	Anonymi 24		Participants in the School of the Persians who were removed from Edessa					bibl633-1	8	bibl633-2	73			488/9		
2226		/Anonymi25	Anonymi 25		The Roman army commanded by Demosthenes in July 531					bibl633-1	12	bibl633-2	100			July 531		
2227		/Anonymi26	Anonymi 26		The Huns who entered Roman territory on 18 December 531					bibl633-1	12	bibl633-2	101			12/18/0531		
2228		/Anonymi3	Anonymi 3		The two thousand people killed by flooding in Edessa in November A. D. 201					bibl633-1	1	bibl633-2	8			November 201		
2229		/Anonymi4	Anonymi 4		The craftsmen of Edessa				Artisans	bibl633-1	2	bibl633-2	8			November 201		
2230		/Anonymi5	Anonymi 5		The measurers and men of skill of Edessa				Artisans	bibl633-1	2	bibl633-2	8			November 201		
2231		/Anonymi6	Anonymi 6		Those who live in the portico in Edessa					bibl633-1	2	bibl633-2	8			November 201		
2232		/Anonymi7	Anonymi 7		The islanders of Edessa				Watchmen	bibl633-1	2	bibl633-2	8			November 201		
2233		/Anonymi8	Anonymi 8		The nobles of Abgar VIII				Government officials	bibl633-1	3	bibl633-2	8			November 201		
2234		/Anonymous1	Anonymous 1		The sister of Ephrem			F		bibl633-1	6	bibl633-2	47			4th century		
2235		/Anonymous2	Anonymous 2		The bishop of Nicopolis who survived the earthquake in 498/9			M	Bishop of Nicopolis	bibl633-1	8	bibl633-2	76			498/9		
2236		/Asclepius	Asqlip	ܐܣܩܠܝܦ	Asclepius	Asklepios		M	Bishop of Edessa	bibl633-1	10	bibl633-2	89				https://en.wikipedia.org/wiki/Asclepius_of_Edessa	Asclepius 6: PLRE II 163
2237		/Asclepius								bibl633-1	11	bibl633-2	92		6/27/0525			
2238		/Augustus	Augustus	ܐܓܘܣܛܣ	Augustus Caesar			M	Emperor of Rome	bibl633-1	3	bibl633-2	2			mid 1st century BC	https://en.wikipedia.org/wiki/Augustus	
2239		/BarDin	Bar Din	ܒܪܕܝܢ				M	Prefect over the archives of Edessa	bibl633-1	3	bibl633-2	8			November 201		
	? 1626?	/Barlāhā	Barlāhā	ܒܪܠܗܐ	Mar Barlāhā	Mar Barlaha		M		bibl633-1	6	bibl633-2	48					
2241		/Barsā	Barsā	ܒܪܣܐ	Barses			M	Bishop of Edessa	bibl633-1	5	bibl633-2	32		March 378			
2242		/Barsā							Transfered from Harran to Edessa	bibl633-1	4	bibl633-2	25			360/1		
2243		/Bulid	Bulid	ܒܘܠܝܕ				M	Prefect over the archives of Edessa	bibl633-1	3	bibl633-2	8			November 201		
2244		/Chosroes	Chosroes	ܟܣܪܘܢ				M	Shah of Persia	bibl633-1	13	bibl633-2	105			540	https://en.wikipedia.org/wiki/Khosrau_II	Chosroes I: PLRE II 293
2245		/Christ	Yeshuʿ		Our Lord			M		bibl633-1	3	bibl633-2	3	-3/2			https://en.wikipedia.org/?title=Jesus	
2246		/Commodus	Commodus					M								165/6	https://en.wikipedia.org/?title=Commodus	
2247		/Conon	Qunā	ܩܘܢܐ	Conon			M	Bishop of Edessa	bibl633-1	4	bibl633-2	12			312/3	https://en.wikipedia.org/wiki/Conon_of_Edessa	
2248		/Constantine	Constantine I	ܩܘܣܛܢܛܝܢܘܣ				M		bibl633-1	4	bibl633-2	19				https://en.wikipedia.org/wiki/Constantine_the_Great	Fl. Val. Constantinus 4: PLRE I 223-24
2249		/Constantius	Constantius II	ܩܘܣܛܢܛܝܣ				M		bibl633-1	4	bibl633-2	19			348/9	https://en.wikipedia.org/wiki/Constantius_II	Fl. Iul. Constantius 8: PLRE I 226
	? 1650	/Cosmas	Qōzmā	ܩܘܙܡܐ	Mar Cosmas			M		bibl633-1	8	bibl633-2	68				https://en.wikipedia.org/wiki/Saints_Cosmas_and_Damian	
2251		/CyrusI	Qurā I	ܩܘܪܐ	Mar Cyrus			M	Bishop of Edessa	bibl633-1	5	bibl633-2	38				https://en.wikipedia.org/wiki/Cyrus_I_of_Edessa	
2252		/CyrusI								bibl633-1	6	bibl633-2	41		July 396			
2253		/CyrusII	Qurā II	ܩܘܪܐ				M	Bishop of Edessa	bibl633-1	8	bibl633-2	71				https://en.wikipedia.org/wiki/Cyrus_II_of_Edessa	
2254		/CyrusII								bibl633-1	8	bibl633-2	75		6/6/0498			
2255		/Damian	Damyānā	ܕܡܝܢܐ	Mar Damian			M		bibl633-1	8	bibl633-2	68				https://en.wikipedia.org/wiki/Saints_Cosmas_and_Damian	
	? 1017, 1671, 1672, 1673?	/Daniel	Daniel	ܕܢܝܐܝܠ	Mar Daniel			M		bibl633-1	5	bibl633-2	34					
2257		/DanielHarran	Daniel of Harran	ܕܢܝܐܝܠ ܕܚܪܢ				M		bibl633-1	7	bibl633-2	63					
2258		/Demet-or-Demetrios	Demet	ܕܝܡܛ	Mar Demet			M		bibl633-1	5	bibl633-2	34					
2259		/DemosthenesPLREII353	Demāsthen	ܕܝܡܣܬܢ	Demosthenes			M		bibl633-1	12	bibl633-2	100					Fl. Theodorus Petrus Demosthenes 4: PLRE II 353-54
2260		/DemosthenesPLREII353								bibl633-1	12	bibl633-2	101		1/10/0532			
2261		/Diocletian	Diocletian	ܕܝܩܠܝܛܝܢܘܣ	Diocletian the king			M	Emperor of Rome	bibl633-1	3 -- 4	bibl633-2	11			May 303	https://en.wikipedia.org/wiki/Diocletian	C. Aur. Val. Diocletianus 2: PLRE I 253-54
2262		/Diogenes	Diogenes	ܕܝܘܓܢܝܣ	Digenis			M	Bishop of Edessa	bibl633-1	6	bibl633-2	48			403/4	https://en.wikipedia.org/wiki/Diogenes_of_Edessa	
2263		/DioscorusAlexandria	Dioscorus	ܕܝܣܩܪܐ	Diāsqārā			M	Bishop of Alexandria	bibl633-1	7	bibl633-2	62			444/5	https://en.wikipedia.org/wiki/Pope_Dioscorus_I_of_Alexandria	
2264		/DomnusAntioch	Domnus of Antioch	ܕܘܡܢܐ ܕܐܢܛܝܟܝܐ	Dumyā			M		bibl633-1	7	bibl633-2	63				https://en.wikipedia.org/wiki/Domnus_II_of_Antioch	
2265		/EmperorAnastasios	Anastasios I	ܐܢܣܛܘܣ	Anastasios the king	Anastos		M	Emperor of Rome	bibl633-1	9	bibl633-2	77			early 6th century	https://en.wikipedia.org/wiki/Anastasius_I_Dicorus	Anastasius 4: PLRE II 78-80
2266		/EmperorArcadius	Arcadius	ܐܪܩܕܝܣ				M	Emperor of Rome	bibl633-1	5	bibl633-2	39			395	https://en.wikipedia.org/wiki/Arcadius	Flavius Arcadius 5: PLRE I 99
2267		/EmperorHonorios	Honorios	ܐܢܪܝܣ				M	Emperor of Rome	bibl633-1	13	bibl633-2	106			March 413	https://en.wikipedia.org/wiki/Honorius_(emperor)	Fl. Honorius 3: PLRE I 442
2268		/EmperorJustin	Justin I	ܝܘܣܛܝܢܐ	Iustinā			M	Emperor of Rome	bibl633-1	9	bibl633-2	86				https://en.wikipedia.org/wiki/Justin_I	Iustinus 4: PLRE II 648-51
2269		/EmperorJustin								bibl633-1	12	bibl633-2	98		8/10/0527			
2270		/EmperorLeo	Leo I	ܠܐܘܢ	Leon			M	Emperor of Rome	bibl633-1	8	bibl633-2	70			465/6	https://en.wikipedia.org/wiki/Leo_I_the_Thracian	Leo 6: PLRE II 663-64
2271		/EmperorTheodosius	Theodosius I	ܬܐܘܕܣܝܣ	Theodosius the Great			M	Emperor of Rome	bibl633-1	5	bibl633-2	34				https://en.wikipedia.org/wiki/Theodosius_I	Flavius Theodosius 4: PLRE I 904-05
2272		/EmperorTheodosius			Theodosios the Great King					bibl633-1	5	bibl633-2	39		1/17/0395			
2273		/EmperorZeno	Zeno	ܙܝܢܘܢ				M	Emperor of Rome	bibl633-1	8	bibl633-2	72			483/4	https://en.wikipedia.org/wiki/Zeno_(emperor)	Fl. Zenon 7: PLRE II 1200-02
2274		/EphremAmida	Ephrem of Amida	ܐܦܪܝܡ ܐܡܕܝܐ	Ephraim			M	Patriarch of Antioch	bibl633-1	12	bibl633-2	97			May 526	https://en.wikipedia.org/wiki/Ephraim_of_Antioch	Ephraemius: PLRE II 394-96
2275		/Eulogios	Eulogios	ܐܘܠܓܝܣ	Mar Eulogios			M	Bishop of Edessa	bibl633-1	5	bibl633-2	34				https://en.wikipedia.org/wiki/Eulogius_of_Edessa	
2276		/Eulogios								bibl633-1	5	bibl633-2	37		4/23/0387			
2277		/Euphemius	Euphemios	ܐܘܦܝܡܝܣ	Euphemius			M	Bishop of Constantinople	bibl633-1	9	bibl633-2	77			498/9	https://en.wikipedia.org/wiki/Euphemius_of_Constantinople	
2278		/EuphrasiusAntioch	Euphrasios	ܐܘܦܪܣ	Euphrasius			M	Patriarch of Antioch	bibl633-1	11	bibl633-2	92				https://en.wikipedia.org/wiki/Euphrasius_of_Antioch	
2279		/EuphrasiusAntioch								bibl633-1	12	bibl633-2	97		5/29/0526			
2280		/EusebiusDorylaeum	Eusebius of Dorylaeum	ܐܘܣܒܝܣ ܕܕܐܘܪܠܝܘܢ				M		bibl633-1	7	bibl633-2	63				https://en.wikipedia.org/wiki/Eusebius_of_Dorylaeum	Eusebius 15: PLRE II 430-31
2281		/Fl.Patricius14PLREII840	Patricius	ܦܛܪܝܩ				M		bibl633-1	10	bibl633-2	89			early 6th century	https://en.wikipedia.org/wiki/Patricius_(consul_500)	Fl. Patricius 14: PLRE II 840-42
2282		/FlavianConstantinople	Flavian	ܦܠܘܝܢܣ				M	Bishop of Constantinople	bibl633-1	7	bibl633-2	63				https://en.wikipedia.org/wiki/Archbishop_Flavian_of_Constantinople	
2283		/Julian	Yulianā	ܝܘܠܝܢܘܣ	Julian the Apostate			M		bibl633-1	4	bibl633-2	26		June 363		https://en.wikipedia.org/wiki/Julian_(emperor)	Fl. Claudius Iulianus 29: PLRE I 477-78
2284		/JustinianI	Justinian I	ܝܘܣܛܝܢܝܢܐ	Mar Justinian the Patrician		ܡܪܝ ܝܘܣܛܝܢܝܢܐ ܦܛܪܝܩܝܘܣ	M	Emperor of Rome	bibl633-1	11	bibl633-2	93			mid 6th century	https://en.wikipedia.org/wiki/Justinian_I	Fl. Petrus Sabbatius Iustianus 7: PLRE II 645-48
2285		/Kaiuma	Kaiuma Bar Magartat	ܩܝܘܡܐ ܒܪ ܡܓܪܛܛ				M	Scribe of Edessa	bibl633-1	3	bibl633-2	8			November 201		
2286		/Kavad	Kavad	ܩܘܕ	Cavades			M	Shah of Persia	bibl633-1	9	bibl633-2	80			503	https://en.wikipedia.org/wiki/Kavadh_I	Cavades I: PLRE II 273-74
2287		/Leontios	Leontios	ܠܐܘܢܛܝܣ				M	Usurper of the imperial throne	bibl633-1	8	bibl633-2	72			470/1	https://en.wikipedia.org/wiki/Leontius_(usurper)	Leontius 17: PLRE II 670-71
2288		/LuciusVerus	Lucius Verus	ܠܘܩܝܣ	Lucius Caesar			M	Emperor of Rome	bibl633-1	3	bibl633-2	7			165/6	https://en.wikipedia.org/wiki/Lucius_Verus	
2289		/Macedon	Macedonios II	ܡܩܕܘܢ	Macedon	Macedonius		M	Bishop of Constantinople	bibl633-1	9	bibl633-2	77			498/9	https://en.wikipedia.org/wiki/Macedonius_II_of_Constantinople	
	1466	/MarSargis	Sargis	ܣܪܓܝܣ	Mar Sergios	Mar Sergius		M	Saint	bibl633-1	9	bibl633-2	81					
2291		/Maʿnu	Maʿnu	ܡܥܢܘ	Maano				King of Edessa	bibl633-1	1	bibl633-2	8					
2292		/Nonos	Nonā	ܢܘܢܐ	Nonnus	Nonos		M	Bishop of Edessa	bibl633-1	7	bibl633-2	64					
2293		/Nonos								bibl633-1	8	bibl633-2	71		470-1		https://en.wikipedia.org/wiki/Saint_Nonnus	
2294		/Pakidā	Pakidā 	ܦܩܝܕܐ	Mar Pakidā 			M	Bishop of Edessa	bibl633-1	6	bibl633-2	44				https://en.wikipedia.org/wiki/Pakida_of_Edessa	
2295		/Pakidā								bibl633-1	6	bibl633-2	49		August 409			
2296		/PaulBpEdessa	Pawlā	ܦܘܠܐ				M	Bishop of Edessa	bibl633-1	9	bibl633-2	82			early 6th century	https://en.wikipedia.org/wiki/Paul_of_Edessa	
2297		/Peter	Peṭrā	ܦܛܪܐ	Peter			M	Bishop of Edessa	bibl633-1	8	bibl633-2	75				https://en.wikipedia.org/wiki/Peter_of_Edessa	
2298		/Peter								bibl633-1	9	bibl633-2	82		4/10/0510			
2299		/PopeLeo	Leon	ܠܐܘܢ	Pope Leo	Leo of Rome		M	Bishop of Rome	bibl633-1	7	bibl633-2	65			448/9	https://en.wikipedia.org/wiki/Pope_Leo_I	
2300		/Rufinus13PLREII954	Rufinus	ܪܘܦܝܢܐ	Mar Rufinus the Patrician		ܡܪܝ ܪܘܦܝܢܐ ܦܛܪܝܩܝܘܣ	M	Patrician	bibl633-1	13	bibl633-2	102			September 532		Rufinus 13: PLRE II 954
2301		/SenatorPLREII990	Senator	ܣܢܛܘܪܐ				M		bibl633-1	7	bibl633-2	60			437/8		Fl. Senator 4: PLRE II 990
2302		/Severus	Severus Alexander	ܣܘܪܘܣ	Severus			M	Emperor of Rome	bibl633-1	1	bibl633-2	8				https://en.wikipedia.org/wiki/Severus_Alexander	
2303		/Shaʿad	Shaʿad	ܫܥܕ				M	Bishop of Edessa	bibl633-1	4	bibl633-2	12			312/3	https://en.wikipedia.org/wiki/Sha%27ad_of_Edessa	
2304		/Silwanā	Silwanā	ܣܠܘܢܐ	Mar Silvanus	Mar Silwano		M	Bishop of Edessa	bibl633-1	6	bibl633-2	42				https://en.wikipedia.org/wiki/Silvanus_of_Edessa	
2305		/Silwanā								bibl633-1	6	bibl633-2	43		October 398			
2306		/SophroniusTella	Sophronius of Tella	ܣܦܪܘܢܝܘܣ ܕܬܠܐ				M		bibl633-1	7	bibl633-2	63				https://en.wikipedia.org/wiki/Sophronius_of_Tella	
	? 1710?	/Stephen	Esṭapānōs	ܣܛܦܢܘܣ	Mar Stephanos	Mar Stephanus		M	Martyr	bibl633-1	6	bibl633-2	51				https://en.wikipedia.org/wiki/Saint_Stephen	
2308		/TheodosiusII	Theodosius II	ܬܐܘܕܣܝܣ				M	Emperor of Rome	bibl633-1	6	bibl633-2	51				https://en.wikipedia.org/wiki/Theodosius_II	Theodosius 6: PLRE II 1100
2309		/Valens	Valens	ܘܠܝܣ				M	Emperor of Rome	bibl633-1	5	bibl633-2	27			364	https://en.wikipedia.org/wiki/Valens	Flavius Valens 8: PLRE I 930-31
2310		/Valentinian	Valentinian I	ܘܠܢܛܝܢܣ	Valentinian the Great			M	Emperor of Rome	bibl633-1	5	bibl633-2	27			364	https://en.wikipedia.org/wiki/Valentinian_I	Flavius Valentinianus 7: PLRE I 933-34
2311		/Vitalian	Vitalian	ܒܝܛܠܝܢܐ	Bitalianā			M		bibl633-1	9	bibl633-2	85			511/2	https://en.wikipedia.org/wiki/Vitalian_(general)	Fl. Vitalianus 2: PLRE II 1171-76
2312		/Vologesh	Vālāgesh	ܘܠܓܫ	Vologesh			M	Bishop of Nisibis	bibl633-1	4	bibl633-2	24		360/1			
2313		/Yahab	Yahab Bar Shemesh	ܝܗܒ ܒܪ ܫܡܫ 				M	Scribe of Edessa	bibl633-1	3	bibl633-2	8			November 201		