Abbeloos,Acta
Barsaum,Revue patriarcale
Beulay,Parole d'Orient
Brock,Parole d'Orient
Bundy,Le Museon
Chabot,Revue de l'Orient Latin
Chiesa,
Corluy,AB
Duval,JA
Ebersolt,Orient et Occident
Elie,Vita
Fiey,AB
Fiey,Le Museon
Fiey,Muséon
Fiey,Notes
Fiey,OS
Fiey,Parole d'Orient
Fiey,PdO 2
Garitte,AB
Garitte,Le Museon
Grebaut,ROC
Griffith,
Kaufhold,Hugoye
Kmosko,PS
Kugener,ROC
Mingana,The Expositor
Nau,Revue sémitique
Nau,ROC
Palladius,
Palmer,Parole d'Orient
Peeters,AB 42
Peeters,RHPO
Sauget,BSCO
Theodoret,Hist. eccl.
Theophylact Simocatta,Histoire ecclesiastique
Vööbus,Le Museon
,BHO 12
,E. Key Fowden
,Le Museon
,Les Actes d'Adorhormizd
,Life of Yuḥanon of Tella
,OCA
,OLP
,PO
,Poem on him.
,Qiṣṣat Mār Ilīyā
,RHR
,Vita
Bardy,Sa vie
Habbi,Saint Michael Monastery
Sergis,Panegyric
Moubarac,Opera Minora of L. Massignon
John Chrysostom,Panegyrici in Babylam martyrem
Kekelidze,
,"Eliae epistula apologetica ad Leonum, Syncellum harranensem"